Sticker,Revenue,Cost of Revenue,R&D Expenses,SG&A Expense,Operating Expenses,Interest Expense,Income Tax Expense,Preferred Dividends,EPS,Weighted Average Shs Out,Dividend per Share,Cash and cash equivalents,Short-term investments,Receivables,Inventories,Total current assets,"Property, Plant & Equipment Net",Goodwill and Intangible Assets,Long-term investments,Total non-current assets,Total assets,Payables,Short-term debt,Total current liabilities,Long-term debt,Total debt,Deferred revenue,Tax Liabilities,Deposit Liabilities,Total non-current liabilities,Total liabilities,Other comprehensive income,Retained earnings (deficit),Total shareholders equity,Investments,Net Debt,Other Assets,Other Liabilities,Depreciation & Amortization,Stock-based compensation,Operating Cash Flow,Capital Expenditure,Acquisitions and disposals,Investment purchases and sales,Investing Cash flow,Issuance (repayment) of debt,Issuance (buybacks) of shares,Dividend payments,Financing Cash Flow,Effect of forex changes on cash,Net cash flow / Change in cash,Free Cash Flow,priceEarningsRatio,dividendYield,pretaxProfitMargin,netProfitMargin,returnOnAssets,returnOnEquity,returnOnCapitalEmployed,inventoryTurnover,assetTurnover,currentRatio,quickRatio,cashRatio,daysOfSalesOutstanding,daysOfInventoryOutstanding,daysOfPayablesOutstanding,debtRatio,debtEquityRatio,longtermDebtToCapitalization,totalDebtToCapitalization,interestCoverage,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Cash per Share,Book Value per Share,Tangible Book Value per Share,Shareholders Equity per Share,Interest Debt per Share,Enterprise Value,PE ratio,Price to Sales Ratio,Earnings Yield,Debt to Equity,Debt to Assets,Net Debt to EBITDA,Current ratio,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,SG&A to Revenue,R&D to Revenue,Intangibles to Total Assets,Capex to Operating Cash Flow,Capex to Revenue,Capex to Depreciation,Stock-based compensation to Revenue,ROIC,Return on Tangible Assets,Working Capital,Tangible Asset Value,Net Current Asset Value,Invested Capital,Average Receivables,Average Payables,Average Inventory,Days Sales Outstanding,Days Payables Outstanding,Days of Inventory on Hand,Receivables Turnover,Inventory Turnover,ROE,Capex per Share,Gross Profit Growth,EBIT Growth,Operating Income Growth,Net Income Growth,EPS Growth,Dividends per Share Growth,Operating Cash Flow growth,Free Cash Flow growth,3Y Revenue Growth (per Share),3Y Operating CF Growth (per Share),3Y Net Income Growth (per Share),3Y Shareholders Equity Growth (per Share),3Y Dividend per Share Growth (per Share),Receivables growth,Inventory Growth,Asset Growth,Book Value per Share Growth,Debt Growth,R&D Expense Growth,SG&A Expenses Growth,Sector,2019 PRICE VAR
CMCSA,94507000000,0,0,64822000000,75498000000,3542000000,3380000000,0,2.56,4549504769,0.917,3814000000,0,11104000000,0,21848000000,44437000000,1.67623E+11,7883000000,2.29836E+11,2.51684E+11,8494000000,4398000000,27603000000,1.07345E+11,1.11743E+11,2182000000,27589000000,0,1.51579E+11,1.79182E+11,-368000000,41983000000,71613000000,7883000000,1.07929E+11,6930000000,14711000000,10676000000,826000000,24297000000,-12312000000,-38078000000,-1257000000,-50854000000,36362000000,-5320000000,-3352000000,27140000000,-245000000,338000000,11985000000,13.3008,0.021751607,0.20113854,0.124128371,0.3033,0.1638,0.0531,0,0.375498641,0.792,0.540448502,0.138173387,0,42.8853,32.8051,0.444,1.5604,0.59983348,0.609431925,5.2662,5.3406,2.634,0.8383,0.358,0.257092067,20.773,2.5785,5.3406,2.634,0.8383,15.741,18.477,15.7408,24.5616,2.6284E+11,13.3008,1.6391,0.0752,1.5604,0.444,3.6799,0.792,5.2662,2.0712,0.0269,0.358,0.6859,0,0.666,0.5067,0.1303,-1.1532,0.0087,0.0531,0.3033,-5755000000,84061000000,-1.57334E+11,1.64387E+11,9969000000,7701000000,0,42.8853,32.8051,0,9.4801,0,0.1638,-2.7062,0.1115,0.022,0.055,-0.484,-0.47,0.9387,0.1428,0.2462,0.1107,0.1044,0.1579,0.1396,0.2348,0.257,0,0.3426,0.0722,0.7309,0,0.1308,Consumer Cyclical,32.79457341
KMI,14144000000,7288000000,0,601000000,3062000000,1917000000,587000000,128000000,0.66,2207018287,0.725,3280000000,0,1498000000,385000000,5722000000,37897000000,24845000000,7481000000,73144000000,78866000000,1337000000,3388000000,7557000000,33936000000,37324000000,0,483000000,0,36112000000,43669000000,-330000000,-7716000000,33678000000,7481000000,34044000000,559000000,2832000000,2297000000,0,5043000000,-2924000000,2928000000,-72000000,-68000000,118000000,-273000000,-1618000000,-1824000000,-146000000,3005000000,2119000000,23.303,0.048606301,0.26824095,0.113758484,0.0446,0.0478,0.0339,34.9666,0.179342175,0.757,0.632261479,0.43403467,-19.2817,38.6574,34.5026,0.4733,1.1083,0.501907889,0.525675333,2.1455,2.2757,0.956,1.4801,1.098,0.356546946,6.3827,0.7261,2.2757,0.956,1.4801,15.198,24.378,15.1977,16.843,67987941254,23.303,2.3999,0.0429,1.1083,0.4733,5.3111,0.757,2.1455,3.4051,0.0471,1.098,0.0425,0,0.315,0.5798,0.2067,-1.273,0,0.0339,0.0446,-1835000000,54021000000,-37947000000,80508000000,1473000000,1338500000,404500000,38.6574,34.5026,-19.2817,9.6022,34.9666,0.0478,-1.3195,0.0564,0.0405,0.0751,53.8519,65,0.45,0.0961,0.3841,-0.0104,-0.0215,0.8445,-0.0182,-0.2785,0.0345,-0.092,-0.0024,0.0076,-0.0137,0,-0.1265,Energy,40.58806776
INTC,70848000000,27111000000,13543000000,6750000000,20421000000,-126000000,2264000000,0,4.57,4564000000,1.2,3019000000,8631000000,6722000000,7253000000,28787000000,48976000000,36349000000,9430000000,99176000000,1.27963E+11,3824000000,1261000000,16626000000,25098000000,26359000000,0,6562000000,0,36774000000,53400000000,-974000000,50172000000,74563000000,18061000000,14709000000,3162000000,11541000000,9085000000,1546000000,29432000000,-15181000000,358000000,3856000000,-11239000000,-2143000000,-10175000000,-5541000000,-18607000000,0,-414000000,14251000000,10.2691,0.025926184,0.329098916,0.297157294,0.3444,0.2824,0.1444,9.9534,0.553660042,1.731,1.10501624,0.181583063,-97.6484,34.6309,19.7008,0.206,0.3535,0.251833716,0.261181903,-184.0556,6.383,3.091,0.6547,0.263,0.415424571,15.365,4.5658,6.383,3.091,0.6547,16.171,19.869,16.1707,5.7165,2.28898E+11,10.2691,3.0232,0.0974,0.3535,0.206,0.4557,1.731,-184.0556,1.398,0.0256,0.263,0.0953,0.1912,0.2841,0.5158,0.2143,-1.671,0.0218,0.1444,0.3444,12161000000,91614000000,-24613000000,98328000000,6164500000,3376000000,7118000000,34.6309,19.7008,-97.6484,11.4929,9.9534,0.2824,-3.2923,0.1187,0.1203,0.2917,1.1928,1.2402,0.1132,0.3312,0.3793,0.0959,0.1675,0.2377,0.0787,0.0772,0.1989,0.0387,0.0382,0.1014,-0.0169,0.039,-0.0942,Technology,30.29551377
MU,30391000000,12500000000,2141000000,813000000,2897000000,342000000,168000000,0,12.27,1159810627,0,6506000000,296000000,5478000000,3595000000,16039000000,23672000000,1559000000,473000000,27337000000,43376000000,4374000000,859000000,5754000000,3780000000,4639000000,0,0,0,4358000000,10112000000,10000000,24395000000,32294000000,769000000,-2163000000,164000000,521000000,4759000000,198000000,17400000000,-8879000000,0,164000000,-8216000000,-9185000000,1584000000,0,-7776000000,-37000000,1371000000,8521000000,4.2999,0,0.493369748,0.465104801,0.4163,0.4377,0.3052,9.0476,0.700640907,2.787,2.134167536,1.130691693,-104.974,65.7915,52.5323,0.1069,0.1436,0.104784609,0.125605827,42.8216,15.1042,3.14,5.6476,0,0.572537922,26.3811,12.27,15.1042,3.14,5.6476,28.033,36.299,28.033,4.0269,59028608681,4.2999,2.0135,0.2326,0.1436,0.1069,-0.1115,2.787,42.8216,1.231,0,0,0.0268,0.0704,0.0359,0.5103,0.2922,-1.8657,0.0065,0.3052,0.4163,10285000000,41817000000,5927000000,34196000000,4618500000,4019000000,3359000000,65.7915,52.5323,-104.974,6.5803,9.0476,0.4377,-7.7075,1.1208,1.5233,1.5552,1.7776,1.6274,0,1.1342,1.4922,0.2035,0.4586,0.6545,0.3459,0,0.4573,0.1511,0.2275,0.6395,-0.5841,0.1738,0.0942,Technology,64.21373673
AAPL,2.65595E+11,1.63756E+11,14236000000,16705000000,30941000000,0,13372000000,0,12.01,4829926000,2.72,25913000000,40388000000,48995000000,3956000000,1.31339E+11,41304000000,0,1.70799E+11,2.34386E+11,3.65725E+11,55888000000,20748000000,1.15929E+11,93735000000,1.14483E+11,5966000000,0,0,1.42649E+11,2.58578E+11,-3454000000,70400000000,1.07147E+11,2.11187E+11,48182000000,12087000000,39293000000,10903000000,5340000000,77434000000,-13313000000,-721000000,30845000000,16066000000,432000000,-72069000000,-13712000000,-87876000000,0,5624000000,64121000000,18.9226,0.012318047,0.266940266,0.224142021,1.0497,0.5556,0.217,60.2871,0.726215052,1.133,0.994539761,0.223524744,-8.8176,67.3325,76.8054,0.313,1.0685,0.466617218,0.516550106,0,15.6263,9.924,5.2293,0.226,0.291549163,53.5973,12.0134,15.6263,9.924,5.2293,21.622,73.804,21.6224,23.1028,1.14583E+12,18.9226,4.1328,0.0528,1.0685,0.313,0.5749,1.133,0,1.3007,0.012,0.226,0.0629,0.0536,0,0.1719,0.0501,-1.221,0.0201,0.217,1.0497,15410000000,3.65725E+11,-1.27239E+11,3.38366E+11,42334000000,50065000000,4405500000,67.3325,76.8054,-8.8176,6.2738,60.2871,0.5556,-2.6866,0.1548,0.1375,0.1557,0.2312,0.2956,0.1333,0.2057,0.2385,0.0968,0.0342,0.0898,0.0139,0.1116,0.3734,-0.1852,-0.0256,-0.1584,-0.0103,0.2293,0.0946,Technology,88.74246463
MSFT,1.1036E+11,38353000000,14726000000,22223000000,36949000000,0,19903000000,0,2.15,7683197503,1.65,1.33768E+11,0,26481000000,2662000000,1.69662E+11,36146000000,43736000000,1862000000,89186000000,2.58848E+11,8617000000,3998000000,58488000000,77810000000,81808000000,32720000000,32927000000,0,1.17642E+11,1.7613E+11,-2187000000,13682000000,82718000000,1862000000,-51960000000,6751000000,45873000000,10261000000,3940000000,43884000000,-11632000000,-888000000,6557000000,-6061000000,-10201000000,-9719000000,-12699000000,-33590000000,50000000,4283000000,32252000000,46.5163,0.016758347,0.317669445,0.150154041,0.1125,0.2003,0.3104,45.5751,0.4263506,2.901,2.739861168,2.287101628,-25.3339,87.5821,28.4995,0.316,0.989,0.484712947,0.49723448,0,5.6992,4.051,17.3725,0.767,0.397644074,14.3325,2.1521,5.6992,4.051,17.3725,10.743,27.937,10.7426,10.6244,7.16437E+11,46.5163,6.9626,0.0215,0.989,0.316,-1.1118,2.901,0,2.6482,0.0165,0.767,0.2014,0.1334,0.169,0.2651,0.1054,-1.1336,0.0357,0.3104,0.1125,1.11174E+11,2.15112E+11,-6468000000,1.04664E+11,24456000000,8003500000,2421500000,87.5821,28.4995,-25.3339,4.5126,45.5751,0.2003,-1.5106,0.1556,0.2198,0.2079,-0.3499,-0.3465,0.0784,0.1108,0.0279,0.0779,0.1624,0.1301,0.0313,0.1089,0.1806,0.2205,0.0341,-0.0512,-0.1066,0.1296,0.1144,Technology,58.25926291
SIRI,5770692000,2308606000,123219000,1311199000,1735138000,350073000,244681000,0,0.26,4441648517,0.045,54000000,0,233000000,22000000,478000000,1513000000,4791000000,0,7695000000,8173000000,736000000,3000000,2803000000,6885000000,6888000000,2081000000,47000000,0,7187000000,9990000000,-6000000,-2057000000,-1817000000,0,6834000000,169000000,2064000000,300720000,133175000,1880418000,-355703000,-15968000,-7605000,-379276000,120192000,-1314279000,-201434000,-1515146000,0,-14004000,1524715000,21.9615,0.007939447,0.299261856,0.203769843,-1.4481,-0.6472,0.2029,273.499,0.706067784,0.171,0.102390296,0.019265073,-3.4783,14.7374,46.5525,0.8428,-3.7909,1.358524073,1.35831197,5.0579,0.4214,0.342,0.0121,0.173,0.325856587,1.2933,0.2635,0.4214,0.342,0.0121,-0.407,0.758,-0.4072,1.5438,32195813032,21.9615,4.3949,0.0455,-3.7909,0.8428,3.2993,0.171,5.0579,1.5991,0.0079,0.173,0.2272,0.0214,0.5862,0.1892,0.0616,-1.1828,0.0231,0.2029,-1.4481,-2325000000,3382000000,-9512000000,7413000000,237363500,765170500,21099500,14.7374,46.5525,-3.4783,24.3116,273.499,-0.6472,-0.0797,0.0418,0.0998,0.0525,0.8149,0.8571,0.0976,0.0134,-0.0274,0.1501,0.2212,0.406,0,0,-0.0361,0.0892,-0.0188,-0.2371,0.021,0.096,0.0314,Consumer Cyclical,22.16194316
HPQ,58472000000,47803000000,1404000000,4859000000,6605000000,1051000000,-2314000000,0,3.3,1582408508,0.557,5166000000,0,5113000000,6062000000,21387000000,2198000000,5968000000,0,13235000000,34622000000,14816000000,1463000000,25131000000,4524000000,5987000000,0,340000000,0,10130000000,35261000000,-845000000,-473000000,-639000000,0,821000000,5046000000,8852000000,528000000,268000000,4528000000,-374000000,-1036000000,480000000,-716000000,-2239000000,-2505000000,-899000000,-5643000000,0,-1831000000,4154000000,7.3152,0.023611846,0.069503352,0.091103434,-3.4457,-8.3365,0.4388,9.8704,1.68886835,0.851,0.409016752,0.205562851,-46.2864,31.9169,92.486,0.1729,-9.3693,1.164478764,1.119483919,3.8668,2.8037,2.5721,3.1988,0.169,0.077438774,36.2056,3.2985,2.8037,2.5721,3.1988,-0.396,17.742,-0.3957,3.7071,39020341383,7.3152,0.6533,0.1367,-9.3693,0.1729,0.1788,0.851,3.8668,0.85,0.0231,0.169,0.0831,0.024,0.1724,0.0826,0.0064,-0.7083,0.0046,0.4388,-3.4457,-3744000000,28654000000,-13874000000,4344000000,4763500000,14047500000,5924000000,31.9169,92.486,-46.2864,12.275,9.8704,-8.3365,-0.2316,0.1139,0.1549,0.1549,1.1089,1.2,0.047,0.2314,0.2422,0.0847,-0.1021,0.0953,0,-0.0606,0.1584,0.0477,0.0519,0.8039,-0.2343,0.1798,0.1104,Technology,3.016788856
CZR,8391000000,4181000000,0,2093000000,3471000000,1346000000,-121000000,0,0.44,669733000,0,1657000000,0,463000000,41000000,2265000000,16045000000,7021000000,0,23510000000,25775000000,399000000,184000000,2000000000,18858000000,19042000000,0,730000000,0,20437000000,22437000000,0,-10372000000,3250000000,0,17385000000,104000000,1417000000,1145000000,79000000,786000000,-565000000,-1578000000,21000000,-2135000000,609000000,-305000000,0,297000000,0,-1052000000,221000000,15.4318,0,0.088070552,0.036110118,0.0186,0.0932,0.0208,209.775,0.325548012,1.133,1.06,0.8285,-3.5793,20.14,17.3561,0.7388,5.8591,0.852994391,0.854207788,1.1352,1.1458,0.3222,2.4155,0,0.093671791,12.2318,0.4417,1.1458,0.3222,2.4155,4.738,27.338,4.7376,27.758,21932487070,15.4318,0.5419,0.0648,5.8591,0.7388,6.5039,1.133,1.1352,2.5941,0,0,0.2494,0,0.2724,0.7188,0.0673,-0.4934,0.0094,0.0208,0.0186,265000000,18754000000,-20172000000,34139000000,484000000,358500000,40000000,20.14,17.3561,-3.5793,17.3368,209.775,0.0932,-0.8236,0.6484,1.961,1.4956,1.8234,1.3333,0,1.3384,1.0757,-0.2329,0,-0.7799,-0.1138,0,-0.0832,0.0513,0.0133,-0.5902,0.0419,0,0.5784,Consumer Cyclical,96.53179525
F,1.60338E+11,1.45732E+11,0,11403000000,11403000000,1228000000,650000000,0,0.93,3977903385,0.6,16718000000,17233000000,1.21092E+11,11220000000,1.14649E+11,36178000000,0,31828000000,1.41891E+11,2.5654E+11,21520000000,53493000000,95569000000,1.0072E+11,1.54213E+11,0,597000000,0,1.24905E+11,2.20474E+11,-7366000000,22668000000,35932000000,49061000000,1.20262E+11,-51614000000,20556000000,8308000000,191000000,15022000000,-7785000000,0,-8299000000,-16261000000,3139000000,-164000000,-2905000000,-122000000,-370000000,-1731000000,7237000000,8.2258,0.098683054,0.01997655,0.022932804,0.0665,0.1023,0.0111,14.3184,0.625001949,1.2,1.622314767,0.174931202,-28.1016,275.6588,48.989,0.6011,4.2918,0.737054708,0.811028426,4.5236,3.7764,1.8193,4.2027,0.645,0.093689581,40.3072,0.9244,3.7764,1.8193,4.2027,9.033,64.491,9.0329,38.7674,1.50693E+11,8.2258,0.1898,0.1216,4.2918,0.6011,8.675,1.2,4.5236,4.0854,0.0784,0.645,0.0711,0,0,0.5182,0.0486,-0.937,0.0012,0.0111,0.0665,19080000000,2.5654E+11,-1.05825E+11,2.98466E+11,1.20042E+11,22401000000,11198000000,275.6588,48.989,-28.1016,1.3357,14.3184,0.1023,-1.9571,-0.1098,-0.4042,-0.3438,-0.5244,-0.5206,-0.0769,-0.1699,-0.3449,0.0227,-0.0261,-0.2076,0.0777,0,0.0177,0.0039,-0.0076,0.0085,-0.0005,0,-0.0108,Consumer Cyclical,25.53720404
